Tourist_Spot,Address,Zipcode,lon,lat,geoAddress
9/11 Memorial & Museum,"World Trade Center (museum: 180 Greenwich St.) Manhattan, NY 1000, Lower Manhattan",10007,-74.0124786,40.7114147,"180 greenwich st, new york, ny 10007, usa"
Abyssinian Baptist Church,"132 Odell Clark Place New York, NY 10030, Harlem",10030,-73.9415389,40.816662,"132 odell clark pl, new york, ny 10030, usa"
Alice Tully Hall,"1941 Broadway Manhattan, NY 10023, Upper West Side",10023,-73.9826405,40.7737028,"1941 broadway, new york, ny 10023, usa"
Alvin Ailey American Dance Theate,"405 W. 55th St. Manhattan, NY 10019, Midtown West",10019,-73.9868137,40.7669453,"405 w 55th st, new york, ny 10019, usa"
American Girl Place,"609 Fifth Ave. Manhattan, NY 10017, Midtown East",10017,-73.9772867,40.7575084,"609 5th ave, new york, ny 10017, usa"
American Museum of Natural History,"Central Park West at 79th St. Manhattan, NY 10024, Upper West Side",10024,-73.9606298,40.7756535,"park ave & e 79th st, new york, ny 10075, usa"
Apollo Theater,"253 W. 125th St.  Manhattan, NY 10027, Harlem",10027,-73.9500391,40.810033,"253 w 125th st, new york, ny 10027, usa"
arts>Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,-74.0153339,40.7140744,"230 vesey st, new york, ny 10080, usa"
Barclays Center,"620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,-73.9752846,40.682658,"620 atlantic ave, brooklyn, ny 11217, usa"
Bartow-Pell Mansion Museum,"895 Shore Rd. Bronx, NY 10464, Pelham Bay",10464,-73.8055009,40.8719274,"895 shore rd, the bronx, ny 10464, usa"
Bateaux New York,"Pier 61, Chelsea Piers (23rd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,-74.0083691,40.747355,"111c 11th ave, new york, ny 10011, usa"
Bronx Brewery,"856 East 136th Street NY 10454, South Bronx",10454,-73.9105843,40.8019185,"856 e 136th st, the bronx, ny 10454, usa"
Bronx Library Center,"310 E. Kingsbridge Rd. Bronx, NY 10458, Fordham",10458,-73.894508,40.863047,"310 e kingsbridge rd, the bronx, ny 10458, usa"
Bronx Zoo,"2300 Southern Blvd. Bronx, NY 10460, Fordham",10460,-73.8784819,40.8502486,"2300 southern blvd, the bronx, ny 10460, usa"
Brooklyn Botanic Garden,"1000 Washington Ave. Brooklyn, NY 11225, Prospect Heights",11225,-73.9617798,40.6673972,"1000 washington ave, brooklyn, ny 11225, usa"
Brooklyn Bridge,"Tillary St Brooklyn, NY 11201,Downtown Brooklyn",11201,-73.9858665,40.6961605,"tillary st, brooklyn, ny 11201, usa"
Brooklyn Heights Promenade,"Brooklyn-Queens Expressway Brooklyn , NY 11201, Brooklyn Heights",11201,-73.9981755,40.6958087,"brooklyn queens expy, brooklyn, ny, usa"
Brooklyn Historical Society,"128 Pierrepont St. Brooklyn, NY 11201, Brooklyn Heights",11201,-73.992441,40.6947963,"128 pierrepont st, brooklyn, ny 11201, usa"
Brooklyn Navy Yard,"63 Flushing Ave, bldg 292, unit 300 (main office) Brooklyn, NY 11205, Navy Yard",11205,-73.971708,40.7050776,"brooklyn navy yard building 292, railroad ave #300, brooklyn, ny 11205, usa"
Brooklyn Nets,"The Barclays Center, 620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,-73.9754156,40.6826465,"620 atlantic ave, brooklyn, ny 11217, usa"
Brooklyn Public Library,"Grand Army Plaza at Flatbush Ave Brooklyn, NY 11238, Park Slope",11238,-73.9706674,40.6743272,"grand army plaza & flatbush ave, brooklyn, ny 11238, usa"
Calvary Cemetery,"49-02 Laurel Hill Blvd. Queens, NY 11377, Woodside",11377,-73.9174048,40.7351324,"49-02 laurel hill blvd, queens, ny 11377, usa"
Carnegie Hall,"57th St. and Seventh Ave. Manhattan, NY 10019, Midtown West",10019,-73.9800175,40.7655327,"7th ave & w 57th st, new york, ny 10019, usa"
Cathedral Church of St. John the Divine,"1047 Amsterdam Ave. Manhattan, NY 10025, Morningside Heights",10025,-73.9618358,40.8038206,"1047 amsterdam ave, new york, ny 10025, usa"
Central Park Conservancy—Official Central Park Tours,"14 E. 60th St., 8th fl. New York, NY 10022, Upper East Side",10022,-73.9717568,40.7643025,"14 e 60th st #8th, new york, ny 10021, usa"
Charles A. Dana Discovery Center/Harlem Meer,"106th to 110th Sts on the east side of the park Manhattan, NY 10029, Central Park",10029,-73.9665138,40.7812199,"central park, new york, ny, usa"
Chelsea Craft Brewing Company,"463 East 173rd Street NY 10457, The Bronx",10457,-73.9011773,40.8417785,"463 e 173rd st, the bronx, ny 10457, usa"
